index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
73,0xcf59ad6e102d188c824e23d85a40cc227bb0bb60baaf985391bc5273f47c83b2,1,0x3dcc0a7fe94fc908a9a95f5429d4de81db090cd1,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 05:27:32+00:00,15350,19730,0.7780030410542321,31,224,241,0.9294605809128631,37,1,42,12,4,1934,30,189994,41,102,658049,4,4.0,1.0,1,2,126471,53000000000,7275315,84314,0.0,216,-1.0,-0.10456199669398054,0.15910644417619105,0.16158966341262826,0.17586311452816447,-0.10253468670067499,-0.09954820004318263,-0.07953343212460774,-1.6197843466621638,-0.10639253962611556,0.11500321714190603,-0.14854782911863643,0.17351902365539004,0.17586311452816447,0.11845366850676618,-0.053545963830260127,-0.19517606186502154,-0.19564840808941852,-0.010260323552092103,-0.14408729695705547,-0.1722758904631986,-0.1005037815259213,0.061839241410310684,-0.137457056325657,3.1129070550773426,-0.4773513287093656,-0.2326928551045364,-0.0,-0.11183616015536929,0.25,1.0,10.201654601861428,0.08079159977894156,0.3592233009708738,5.878048780487805,0.00034039966567889977,0.17427385892116182,0.0021287379624936645,3.5,0.3870967741935484,0
870,0xaf30a7d62053b22c4ca31b95f78fc6164384aa597414f8b5f062cec2cb29a5f9,1,0x3dcc0a7fe94fc908a9a95f5429d4de81db090cd1,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 05:27:43+00:00,15351,19731,0.7780142922305002,31,225,242,0.9297520661157025,37,2,43,12,5,1934,30,189997,41,102,658052,4,5.0,1.0,1,2,183460,53900000000,7497059,92307,0.0,217,-1.0,-0.10456199669398054,0.15948728204343265,0.16188607662626237,0.17586311452816447,-0.10123216273344081,-0.09824810601101361,-0.07953343212460774,-1.5850026342579944,-0.09019885018530649,0.11500321714190603,-0.08040662310091329,0.17351902365539004,0.17586311452816447,0.11854528638311239,-0.053545963830260127,-0.19517606186502154,-0.19564578064890273,-0.010260323552092103,-0.02598295518897719,-0.1722758904631986,-0.1005037815259213,0.061839241410310684,-0.09315614702952707,3.21529722140719,-0.42445107577553,-0.1692176815004214,-0.0,-0.11052152326627362,0.2,1.0,10.202171664943123,0.08079558732197181,0.3592233009708738,5.902439024390244,0.000341917748266477,0.17768595041322313,0.002179311742942578,3.5833333333333335,0.3870967741935484,0
380,0x20a458651d49bc52a8d5ac95a9e1b8554aff05fb0fe35c13c43f1f3e5141960d,1,0x31b92f6042fca810a83cbec30e212687c9d0d1ea,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 05:36:22+00:00,15352,19732,0.7780255422663693,31,413,417,0.9904076738609112,64,3,29,12,4,1934,30,190029,64,74,471659,4,4.0,1.0,1,2,126453,61000000000,6152028,84302,0.0,381,-1.0,-0.10456199669398054,0.15986811991067423,0.16218248983989644,0.17586311452816447,0.14364234310658575,0.12926834961856667,0.4455038948593549,-1.5502209218538252,-0.3169105023566334,0.11500321714190603,-0.14854782911863643,0.17351902365539004,0.17586311452816447,0.11952254373080519,0.1330536070933736,-0.3502535230517583,-0.358891287335472,-0.010260323552092103,-0.14408729695705547,-0.1722758904631986,-0.1005037815259213,0.061839241410310684,-0.13747104878678687,4.0230418668982075,-0.7453277628734889,-0.23278815124906904,-0.0,0.10507892654541753,0.25,1.0,10.20268872802482,0.08078724411934958,0.8533333333333334,6.515625,0.000875630750964678,0.06954436450839328,0.0014696938982363672,2.4166666666666665,0.3870967741935484,0
285,0x394539884c7951dcfbe3051d0a9fc666f87eedf3bd62b2f215962c917e327511,1,0x3dcc0a7fe94fc908a9a95f5429d4de81db090cd1,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 05:37:34+00:00,15353,19733,0.7780367911620129,31,230,247,0.9311740890688259,37,4,44,12,5,1934,30,190034,41,102,658089,4,5.0,1.0,1,2,179199,58000000000,13422911,104466,0.0,221,-1.0,-0.10456199669398054,0.1602489577779158,0.16247890305353055,0.17586311452816447,-0.09471954289726989,-0.09174763585016846,-0.07953343212460774,-1.5154392094496558,-0.07400516074449742,0.11500321714190603,-0.08040662310091329,0.17351902365539004,0.17586311452816447,0.11967524019138219,-0.053545963830260127,-0.19517606186502154,-0.195613375549208,-0.010260323552092103,-0.02598295518897719,-0.1722758904631986,-0.1005037815259213,0.061839241410310684,-0.0964684735225487,3.6817413124653826,0.9892470159359724,-0.0726588630527254,-0.0,-0.1052629757098909,0.2,1.0,10.203205791106514,0.08079038071934118,0.3592233009708738,6.024390243902439,0.00034949626950721025,0.17813765182186234,0.0022297673947195055,3.6666666666666665,0.3870967741935484,0
613,0xa0f365997e4db65308c937281c18633fbaf1783179c8a2ea982e0b6401418419,1,0xdea35e5fd5768db241d4766fb9602af33946c37e,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 06:06:04+00:00,15354,19734,0.7780480389176041,31,458,486,0.9423868312757202,72,5,45,15,5,1934,30,190161,75,103,661242,4,5.0,1.0,1,2,202021,30030000000,7415211,134681,0.0,477,-1.0,-0.10456199669398054,0.16062979564515742,0.16277531626716465,0.17586311452816447,0.20225592163212402,0.21897483783822977,0.6010705102620105,-1.4806574970454864,-0.05781147130368836,0.45659693142479535,-0.08040662310091329,0.17351902365539004,0.17586311452816447,0.12355373029003801,0.22229688014380714,-0.18963758110835238,-0.19285193556711233,-0.010260323552092103,-0.02598295518897719,-0.1722758904631986,-0.1005037815259213,0.061839241410310684,-0.07872758752777291,0.4996824766366862,-0.44397710535075446,0.16728888753508078,-0.0,0.2312840678986026,0.2,1.0,10.20372285418821,0.08074168340677948,0.6923076923076923,6.48,0.000692634931485097,0.09259259259259259,0.002280328367284889,3.0,0.4838709677419355,0
185,0x008227c1dfe9e755c29e46322add7b3398ce3e5431f61cea4feabfc93b45578e,1,0x2687612d016eeb8953e86ea9893b8ca795b52a72,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 06:09:34+00:00,15355,19735,0.7780592855333165,31,158,161,0.9813664596273292,24,6,11,6,4,1934,30,190177,22,595,3819647,4,4.0,1.0,1,2,138159,28000000000,13090519,92106,0.0,132,-1.0,-0.10456199669398054,0.161010633512399,0.16307172948079873,0.17586311452816447,-0.18850126853813112,-0.20355572261670504,-0.3323291821539231,-1.4458757846413173,-0.6083969122911965,-0.5681842114238725,-0.14854782911863643,0.17351902365539004,0.17586311452816447,0.12404235896388441,-0.20769343546282715,2.5352949511728786,2.573321818524478,-0.010260323552092103,-0.14408729695705547,-0.1722758904631986,-0.1005037815259213,0.061839241410310684,-0.12837128489865937,0.2687357681371419,0.9099500749897305,-0.1708138919213431,-0.0,-0.22226565883940622,0.25,1.0,10.204239917269907,0.08074014870279422,0.040268456375838924,7.318181818181818,4.136506819476559e-05,0.06832298136645963,0.0005573853559665569,1.8333333333333333,0.1935483870967742,0
357,0x9b06623c5d42454ef3f5680473f13ec4aeedd66ef667e2a3161ee447ddd9b5a5,1,0x59bb5f8b697c642fe8cac6195c6803f4a4809089,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 06:12:11+00:00,15356,19736,0.7780705310093231,31,286,292,0.9794520547945206,61,7,10,4,4,1934,30,190191,35,128,826662,4,4.0,1.0,1,2,163809,33000000000,7345323,109206,0.0,267,-1.0,-0.10456199669398054,0.16139147137964058,0.16336814269443284,0.17586311452816447,-0.02177820073215559,-0.03324340440256209,0.38716641408335906,-1.411094072237148,-0.6245906017320056,-0.795913354279132,-0.14854782911863643,0.17351902365539004,0.17586311452816447,0.1244699090535,-0.10222411276686023,-0.05117556219162317,-0.04797486552643329,-0.010260323552092103,-0.14408729695705547,-0.1722758904631986,-0.1005037815259213,0.061839241410310684,-0.10843202778859021,0.837570025525182,-0.4606499031583159,-0.03501688596233316,-0.0,-0.04478967881148973,0.25,1.0,10.204756980351602,0.08073946327921258,0.4728682170542636,8.342857142857143,0.0003459692764766295,0.03424657534246575,0.0005066882853668423,2.5,0.12903225806451613,0
26,0x8e108bdf5bb62e2e40372993fbf704e6f9090551677c47d37c3bbaf0a172b878,1,0x59bb5f8b697c642fe8cac6195c6803f4a4809089,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 06:12:57+00:00,15357,19737,0.7780817753457973,31,287,293,0.9795221843003413,61,8,11,4,4,1934,30,190196,35,128,826667,4,4.0,1.0,1,2,126453,33000000000,5825557,84302,0.0,268,-1.0,-0.10456199669398054,0.16177230924688218,0.16366455590806694,0.17586311452816447,-0.020475676764921406,-0.031943310370393066,0.38716641408335906,-1.3763123598329787,-0.6083969122911965,-0.795913354279132,-0.14854782911863643,0.17351902365539004,0.17586311452816447,0.124622605514077,-0.10222411276686023,-0.05117556219162317,-0.047970486458906975,-0.010260323552092103,-0.14408729695705547,-0.1722758904631986,-0.1005037815259213,0.061839241410310684,-0.13747104878678687,0.837570025525182,-0.8232121632431144,-0.23278815124906904,-0.0,-0.043475041922394056,0.25,1.0,10.205274043433299,0.08074259846369816,0.4728682170542636,8.371428571428572,0.0003471768593921623,0.03754266211604096,0.0005573288747023357,2.75,0.12903225806451613,0
573,0xe3bb4736a57f456b5157faaf7f6021a97a74e589787551f9f217ebf3cd889052,1,0x59bb5f8b697c642fe8cac6195c6803f4a4809089,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 06:13:23+00:00,15358,19738,0.7780930185429121,31,288,294,0.9795918367346939,61,9,12,4,5,1934,30,190198,35,128,826669,4,5.0,1.0,1,2,190606,33000000000,8853224,97071,0.0,269,-1.0,-0.10456199669398054,0.16215314711412376,0.16396096912170102,0.17586311452816447,-0.01917315279768722,-0.030643216338224033,0.38716641408335906,-1.3415306474288093,-0.5922032228503875,-0.795913354279132,-0.08040662310091329,0.17351902365539004,0.17586311452816447,0.12468368409830781,-0.10222411276686023,-0.05117556219162317,-0.04796873483189645,-0.010260323552092103,-0.02598295518897719,-0.1722758904631986,-0.1005037815259213,0.061839241410310684,-0.08760113996096744,0.837570025525182,-0.10091821121091893,-0.1313851121209639,-0.0,-0.042160405033298376,0.2,1.0,10.205791106514996,0.08074700708205616,0.4728682170542636,8.4,0.00034838569199317743,0.04081632653061224,0.0006079643327591448,3.0,0.12903225806451613,0
214,0xbfc626e6531dc3bed99969bbe6ce26c663dbbf6958320ac30078635def5a0b16,1,0x02ede9927ae1f3e3fec0fe7e461291da8f7f4331,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 06:17:03+00:00,15359,19739,0.7781042606008409,31,93,93,1.0,21,10,6,4,4,1934,30,190215,16,89,574087,4,4.0,1.0,1,2,138159,27000000000,13231464,92106,0.0,71,-1.0,-0.10456199669398054,0.16253398498136534,0.16425738233533513,0.17586311452816447,-0.27316532640835306,-0.2919621168041991,-0.3906666629299189,-1.3067489350246402,-0.6893653594952419,-0.795913354279132,-0.14854782911863643,0.17351902365539004,0.17586311452816447,0.12520285206426962,-0.25637158439942725,-0.26717631170172074,-0.2691834616183479,-0.010260323552092103,-0.14408729695705547,-0.1722758904631986,-0.1005037815259213,0.061839241410310684,-0.12837128489865937,0.15496891665953388,0.9435745525393348,-0.1708138919213431,-0.0,-0.30245850907424254,0.25,1.0,10.20630816959669,0.08074504773520629,0.23333333333333334,5.8125,0.00016199607028887558,0.06451612903225806,0.00030396676630021786,1.5,0.12903225806451613,0
