index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
359,0x72c55fc1ca5f74f675dc092090bc3c5acc57eca71cfc15220e251ca16afaa09b,2,0x3aa27ab297a3a753f79c5497569ba2dacc2bc35a,0x00000000b2ff98680adaf8a3e382176bbfc34c8f,2021-08-30 05:19:59+00:00,1842,1842,1.0,26,2775,2775,1.0,27,1,1842,26,57,1,25,161963,10,26,168054,22,7.0,11.0,2,3,1265683,78253252514,11387372,473888,0.0,2773,2.0,0.0690768618357446,-0.2842817807911706,-0.213658152286897,-1.8560603207594413,0.5077463644674112,0.4418022579455223,-0.7916117363156464,-0.7584400014356716,23.22987230041532,0.9881465209919056,-0.1282435247990426,-0.2418920894584277,-2.137653637152112,-2.1325928377336614,-0.9750243464169244,-0.9815863419372076,-1.010225317034523,-0.2242597668444123,-0.4033841647134487,2.278478830665375,-0.6207890251914279,-0.2770666110405988,0.1517962704189834,1.2144719223834002,-0.0201282759958449,-0.1587830713344063,-0.0,0.485619316809119,0.0350877192982456,1.0,1842.0,0.0113728976809661,1.0,277.5,0.0165124512808306,0.6637837837837838,1.0,70.84615384615384,1.0,0
100,0xae207abe8988c94fd337b77b7b54f39390c61f64715268131a96e6e9961fb2d8,4,0x6510438a7e273e71300892c6faf946ab3b04cbcb,0x18c0ca3947e255881f94de50b3a906fc2759f7fe,2021-08-30 05:19:59+00:00,1792,1920,0.9333333333333332,22,1249,1249,1.0,25,1,1154,22,86,2,21,133402,10,24,155814,21,10.0,11.0,2,2,1099444,78915252517,877544,877544,0.0,1247,2.0,0.9425931273282624,-0.2851737944814724,-0.2128555429985777,-1.8859228901301448,-0.1450703898478317,-0.1752074329333426,-0.8044181251707334,-0.7584400014356716,14.453552834715731,0.7394450346982951,0.3517749709313271,-0.2418260013625431,-2.169823258644286,-2.1679836736602853,-0.9750243464169244,-0.986283410980316,-1.0149172494782808,-0.2671045760005737,-0.1828547335485078,2.278478830665375,-0.6207890251914279,-0.4760526242897421,-0.0244519588767503,1.24122353444572,-1.410199852419671,0.6072656356245545,-0.0,-0.1546406416031087,0.0465116279069767,1.0,960.0,0.0134329812672878,1.0,124.9,0.0080159163110098,0.9239391513210568,0.6010416666666667,52.45454545454545,1.0,0
894,0xf5a3225fd62ed183af9df48dd9b725727f8975d251165b40972cf54b3198fd70,4,0xce1f4b4f17224ec6df16eeb1e3e5321c54ff6ede,0x203e6e1b54f768db740770c4ac23b70cce1bc67e,2021-08-30 04:23:26+00:00,1,1,1.0,1,88,89,0.9887640449438202,16,1,1,1,91,1,0,0,32,70,446033,22,10.0,12.0,5,8,2284255,120000000000,1411795,1061988,0.0,86,-1.0,0.9425931273282624,-0.3171257248680852,-0.2326017894637688,-2.042701379326337,-0.6417415902148023,-0.6442318375332662,-0.8620468750186248,-0.7584400014356716,-0.2544360373069725,-0.5662377683431603,0.4345367805400115,-0.2418920894584277,-2.338713771478197,-2.333286299418609,-0.8365890927876006,-0.8782508229888173,-0.9036682346175852,-0.2242597668444123,-0.1828547335485078,2.702352266761224,1.62348685960798,0.7178634552051173,1.2316963625165909,2.9014700923956296,-1.3395376941259287,0.9572990494876916,-0.0,-0.6417584736585454,0.0439560439560439,1.0,1.0,1.0,0.2253521126760563,2.78125,0.0001972943766618,0.0112359550561797,1.0,1.0,1.0,1
580,0x8b4ec34be08527e549b7fc4863f23ca8a9c65824ac62a4327bd803f8cbb83fc2,4,0xce1f4b4f17224ec6df16eeb1e3e5321c54ff6ede,0x2ab93b65aa461209de902fb9264484c84e32ad9b,2021-08-30 04:28:18+00:00,1,1,1.0,1,90,92,0.9782608695652174,16,1,1,1,90,1,0,0,34,70,446062,21,10.0,12.0,5,8,2284255,120000000000,1934404,1019987,0.0,89,-1.0,0.9425931273282624,-0.3171257248680852,-0.2326017894637688,-2.042701379326337,-0.6408859981383733,-0.6430188433834387,-0.8620468750186248,-0.7584400014356716,-0.2544360373069725,-0.5662377683431603,0.4179844186182746,-0.2418920894584277,-2.338713771478197,-2.333286299418609,-0.8240040697303894,-0.8782508229888173,-0.9036571181109784,-0.2671045760005737,-0.1828547335485078,2.702352266761224,1.62348685960798,0.7178634552051173,1.2316963625165909,2.9014700923956296,-1.2704153529721744,0.877590555767833,-0.0,-0.6404997712501335,0.0444444444444444,1.0,1.0,1.0,0.2253521126760563,2.7058823529411766,0.0002017652215045,0.0108695652173913,1.0,1.0,1.0,1
621,0xd9312d587fc1a1fe9de28fa8b310fb082f819810e50c3162c199a635abb4a43d,9,0x8000006505d54aaa99efaa48f03ea554edcb0008,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 04:16:09+00:00,126,146,0.863013698630137,24,29,29,1.0,17,1,23,13,85,8,24,154602,2,43,276008,21,11.0,7.0,3,6,1546086,66718643336,597282,597282,0.0,26,2.0,3.126383791059557,-0.3148956906423306,-0.2311097593765084,-1.870991605444793,-0.6669815564694545,-0.668491720529814,-0.8556436805910813,-0.5673221830851839,0.0262020851427234,0.1798666905376713,0.3352226090095902,-0.241429472787235,-2.145696042525156,-2.1417140850028704,-1.0253644386457692,-0.941661255070784,-0.9688435461984596,-0.2671045760005737,-0.1093449231601941,0.5829850862819785,0.1273029364083747,0.3198914287068308,0.4490822998056595,0.7483550211417429,-1.4472684172098556,0.075391111996187,-0.0,-0.6669325218267851,0.1058823529411764,0.96,18.25,0.0008149906534802,0.3863636363636363,14.5,0.0001050690376038,0.7931034482758621,0.1575342465753424,1.7692307692307692,0.5416666666666666,0
545,0x5401ac728a5f0c3e01ce9538dae4005412ac80a0b860c36f1f3ceccba3982f66,11,0x50000e8ac638b362b24021a52590ad5757000005,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 04:16:13+00:00,127,147,0.8639455782312925,24,53,53,1.0,26,2,26,14,59,8,24,154603,8,43,272815,17,11.0,6.0,3,3,1334257,62086802583,558742,382737,0.0,49,2.0,3.999900056552076,-0.3148778503685245,-0.2310994695138377,-1.870991605444793,-0.6567144515523078,-0.6587877673311948,-0.79801493074319,-0.5572633505404214,0.0644709200222274,0.2420420621110739,-0.0951388009555688,-0.241429472787235,-2.145696042525156,-2.14171284587133,-0.9876093694741356,-0.941661255070784,-0.9700675119086652,-0.4384838126252193,-0.1093449231601941,0.1591116501861294,0.1273029364083747,-0.2770666110405988,0.2244991023400467,0.5611809933514461,-1.452365870617787,-0.331767260069409,-0.0,-0.6572824700289599,0.1864406779661017,0.96,18.375,0.0008214535199606,0.5909090909090909,6.625,0.0001942701307841,0.490566037735849,0.1768707482993197,1.8571428571428568,0.5833333333333334,0
224,0xc08f77053067ba19b6816fd6e97376b08fc91a473dafc3b81d7e2b9dd696dd11,9,0xb0000e050316b90f46130cfe0900ff3a4a72000b,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 04:17:13+00:00,128,148,0.8648648648648649,24,26,26,1.0,17,3,16,10,85,8,24,154606,3,43,272395,21,11.0,7.0,3,6,1580347,68367284411,597216,597216,0.0,23,2.0,3.126383791059557,-0.3148600100947185,-0.2310891796511669,-1.870991605444793,-0.6682649445840978,-0.6697047146796413,-0.8556436805910813,-0.547204517995659,-0.0630918629094525,-0.0066594241825365,0.3352226090095902,-0.241429472787235,-2.145696042525156,-2.1417091284767085,-1.0190719271171638,-0.941661255070784,-0.9702285095905588,-0.2671045760005737,-0.1093449231601941,0.5829850862819785,0.1273029364083747,0.3198914287068308,0.485406150309459,0.8149770849915005,-1.4472771466318826,0.0752658587739897,-0.0,-0.6681912242351971,0.1058823529411764,0.96,18.5,0.0008279055928903,0.3863636363636363,8.666666666666666,9.544927238285438e-05,0.6153846153846154,0.1081081081081081,1.6,0.4166666666666667,0
249,0x57b4811ff98917b767a3a5bfb992a3ea8fd6904ceb07c0f85cc07a927a0f70c7,9,0x00000a600e64c26be24f64169c89f21c1f530000,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 04:17:30+00:00,129,149,0.8657718120805369,24,63,64,0.984375,20,4,40,12,95,8,24,154608,10,41,263159,24,11.0,10.0,4,7,1661873,70322384645,1025733,678793,0.0,62,2.0,3.126383791059557,-0.3148421698209124,-0.2310788897884961,-1.870991605444793,-0.6524364911701633,-0.654340122115161,-0.8364340973084509,-0.5371456854508965,0.2430588161265794,0.1176913189642687,0.500746228226959,-0.241429472787235,-2.145696042525156,-2.141706650213628,-0.9750243464169244,-0.9463583241138926,-0.9737689252809628,-0.1385701485320895,-0.1093449231601941,1.8546053945695256,0.8753948980081774,0.5188774419559741,0.57184082052261,0.8939832523115908,-1.390599786953455,0.2300807391860017,-0.0,-0.6518280929258413,0.0947368421052631,0.96,18.625,0.0008343628119967,0.4761904761904761,6.4,0.0002393980848153,0.625,0.2684563758389262,3.333333333333333,0.5,0
808,0x177220a7dbcf02293f6189db7763b934de67378bbdc69eed97d5aa47c85315a2,9,0x60000610ef97231d663448317cd084f1d4000006,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 04:21:36+00:00,130,150,0.8666666666666667,24,38,38,1.0,26,5,25,16,95,8,24,154631,3,43,273883,24,11.0,10.0,4,7,1665918,73576096818,682784,682784,0.0,35,2.0,3.126383791059557,-0.3148243295471064,-0.2310685999258254,-1.870991605444793,-0.6631313921255245,-0.6648527380803317,-0.79801493074319,-0.5270868529061339,0.0517146417290594,0.3663928052578792,0.500746228226959,-0.241429472787235,-2.145696042525156,-2.1416781501881976,-1.0190719271171638,-0.941661255070784,-0.9696581178032784,-0.1385701485320895,-0.1093449231601941,1.8546053945695256,0.8753948980081774,0.5188774419559741,0.5761293694642016,1.0254667046078034,-1.4359595832377496,0.2376547635767533,-0.0,-0.6631564146015491,0.0947368421052631,0.96,18.75,0.00084070567541,0.5909090909090909,12.666666666666666,0.0001387448700909,0.6578947368421053,0.1666666666666666,1.5625,0.6666666666666666,0
268,0x6ece886813015970de74f88fbc3ca7b3ac09c1a5650a6a71ee7991470d235edd,11,0x50000e8ac638b362b24021a52590ad5757000005,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 04:22:06+00:00,131,151,0.8675496688741722,24,54,54,1.0,26,6,27,14,69,8,24,154636,8,43,272848,20,11.0,9.0,4,4,1451354,65838548033,468252,468252,0.0,50,2.0,3.999900056552076,-0.3148064892733004,-0.2310583100631546,-1.870991605444793,-0.6562866555140934,-0.658383435947919,-0.79801493074319,-0.5170280203613714,0.0772271983153954,0.2420420621110739,0.0703848182618,-0.241429472787235,-2.145696042525156,-2.141671954530495,-0.9876093694741356,-0.941661255070784,-0.9700548620908022,-0.3099493851567351,-0.1093449231601941,1.4307319584736766,0.8753948980081774,-0.0780805977914556,0.3486464979923458,0.7127901147716056,-1.4643344372727878,-0.169478937399622,-0.0,-0.6568629025594892,0.1594202898550724,0.96,18.875,0.0008471452498431,0.5909090909090909,6.75,0.0001979116654266,0.5,0.1788079470198675,1.9285714285714288,0.5833333333333334,0
