transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0xb1aa13d956409bbc409f8dd1cda5470efde884347cf0aa64e6ec163ca868e9e8,2,0xcfc39bf6b0a6d1af7d988c40c1d04b227506d928,0xd06527d5e56a3495252a528c4987003b712860ee,2021-08-19 04:32:39.000000 UTC,846858,23615961652,15979243,418506,0.0,110,2.0,352,2020-08-19T00:00:00,19254,19620,0.9813455657492355,366,131,131,1.0,22,234,0xb1aa13d956409bbc409f8dd1cda5470efde884347cf0aa64e6ec163ca868e9e8,1,1,34,3265,365,2366326,44,128,820300,19,7.0,7.0,2,3,0.06907686183574466,0.03632750895382759,-0.024816014868427383,0.761373253959247,-0.618716214247093,-0.6213148913610059,-1.0944894608329232,1.5852679814939927,-0.2537125977166416,-0.5665204747014116,-0.508947848998991,-0.022547633015111635,0.6772058526649312,0.6767792644270408,-0.7441793997944154,-1.0145220663768915,-1.0219240551474065,-0.3527941943128965,-0.4033841647134486,0.5829850862819785,-0.6207890251914279,-0.2770666110405988,-0.29224613018969264,-0.9934368429528841,0.5872108126842791,-0.2638857069667298,-0.0,-0.6316888543912494,0.058823529411764705,1.0,6.009188361408882,0.008136660740464019,0.17054263565891473,2.977272727272727,0.00015969747690177142,0.007633587786259542,5.0968399592252805e-05,1.0,0.00273224043715847,0
0x58c364b02628a07dfd4ad91ade7df06c6bfc3069b07890c6951fa06f36d683f9,1,0xcca5653c42f4bd2413a1ffb3010cea758b40df79,0xd06527d5e56a3495252a528c4987003b712860ee,2021-08-17 20:23:44.000000 UTC,251154,55594770562,27690927,120732,6.832621e+18,703,2.0,393,2020-08-17T00:00:00,19565,19935,0.981439678956609,366,690,710,0.971830985915493,118,218,0x58c364b02628a07dfd4ad91ade7df06c6bfc3069b07890c6951fa06f36d683f9,18,12,6,3276,365,2370663,171,362,2350432,5,3.0,2.0,1,2,-0.36768127091051434,0.04187756340390746,-0.02157522365583615,0.761373253959247,-0.3426424733985517,-0.35239600907335394,-0.03435617141628013,1.4243266607777927,-0.0366664035285636,0.12183572791842605,-0.9724139828076238,-0.021820635737352746,0.6772058526649312,0.6823616937995375,0.12749489569394157,0.915528596627555,0.9218960396707563,-0.9526215224991561,-0.6974234062667031,-1.5363820941972668,-1.3688809867912304,-0.4760526242897421,-0.9238173931567809,0.29883609707514047,2.1362446351652657,-0.8289940855514594,-0.0,-0.38288534499514787,0.16666666666666666,1.0,6.085164835164835,0.008252962039327379,0.325068870523416,4.152046783625731,0.00029356293074510103,0.02535211267605634,0.0009029345372460496,1.5,0.03278688524590164,0
0xec4d1c2193e1aa9b158c9cbce46276d8c98c1a3e40efb8ce4b7746de20845b1d,1,0xf9f048c4c86cb89e5c39ad94355ecd7aee56c606,0x797aab1ce7c01eb727ab980762ba88e7133d2157,2021-08-01 01:55:53.000000 UTC,774948,21200000000,12326231,362083,0.0,2632,,929,2020-08-01T00:00:00,10930,11062,0.988067257277165,364,1558,1692,0.9208037825059102,158,15,0xec4d1c2193e1aa9b158c9cbce46276d8c98c1a3e40efb8ce4b7746de20845b1d,25,19,36,1829,364,2356669,193,347,2245041,18,8.0,6.0,4,5,-0.36768127091051434,-0.11222121529847101,-0.1128626535901917,0.7458511960696653,0.08603732455589168,0.10369784655095395,0.4073660325073212,-0.6176163458089965,0.0527055587841744,0.55988058413105,-0.47584312515551724,-0.11745382309345369,0.6688415654004595,0.6643491236730173,0.27849359255019235,0.7918074002811161,0.7880114182047775,-0.3956390034690579,-0.329874354325135,0.15911165018612947,0.8753948980081774,0.12090541545768763,-0.3684858222514604,-1.0910665537970772,0.10404894271503184,-0.3709639275128023,-0.0,0.42646030361375586,0.027777777777777776,0.9972602739726028,6.04811372334609,0.004637900087835802,0.4540229885057471,8.766839378238341,0.0006939736539450041,0.014775413711583925,0.00225998915205207,1.3157894736842106,0.0521978021978022,0
0xba24906b12667a2e1718596c66def994d451544d72cf6885a775f2bf9bf5de33,1,0xb0e83c2d71a991017e0116d58c5765abc57384af,0x44fbebd2f576670a6c33f6fc0b00aa8c5753b322,2021-08-03 12:43:46.000000 UTC,2194266,34000000000,13435829,1075653,0.0,7565,,848,2020-08-03T00:00:00,20391,20766,0.9819416353655013,366,3443,3576,0.9628076062639821,295,17,0xba24906b12667a2e1718596c66def994d451544d72cf6885a775f2bf9bf5de33,6,5,144,2786,365,2368163,437,365,2365681,62,27.0,8.0,4,5,-0.36768127091051434,0.05661822248997169,-0.01302570779023833,0.761373253959247,1.0169836599753914,0.9787292355491168,1.9202645809456556,-0.5974986807194714,-0.1898754817789716,-0.31620912829419795,1.3118119623920665,-0.054205059928430464,0.6772058526649312,0.6791437843157373,1.9532064122286106,0.9402728358968427,0.9412677753287794,1.4895325994020434,1.0668120430528236,1.0068585223778277,0.8753948980081774,0.12090541545768763,1.1362891361371383,-0.573814842549439,0.2508087794180421,0.9832321598108238,-0.0,2.4961866305125233,0.006944444444444444,1.0,7.453697056712132,0.008610467856111317,0.8060109289617486,8.183066361556063,0.0014553942583999033,0.0016778523489932886,0.0002889338341519792,1.2,0.01366120218579235,0
0x60358bd5ac3d1fcbf54ed8f9c80835db601b576934ade30dfc5d4921483246e5,1,0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,0x10a3da2bb0fae4d591476fd97d6636fd172923a8,2021-08-08 19:45:32.000000 UTC,2975274,67732726988,6699355,1422022,0.0,9281,,674,2020-08-08T00:00:00,436,437,0.9977116704805492,134,6698,7480,0.8954545454545455,329,3,0x60358bd5ac3d1fcbf54ed8f9c80835db601b576934ade30dfc5d4921483246e5,1,1,190,151,233,1508564,648,365,2364626,76,38.0,7.0,4,4,-0.36768127091051434,-0.29949539986161633,-0.2221750556021975,-1.039185461232243,2.624532902304554,2.7919577613712123,2.2957284542807166,-0.7383223363461466,-0.2537125977166416,-0.5665204747014116,2.0732206107919633,-0.22835395328249125,-0.42688006624533587,-0.4273009254303372,3.4014211866226525,0.9402728358968427,0.9399275444205746,2.089359927588303,1.8754199573242736,0.5829850862819785,0.8753948980081774,-0.07808059779145561,1.9643215296537166,0.7893344355437159,-0.6401840163458961,1.6405629676785831,-0.0,3.2161644081241763,0.005263157894736842,0.5726495726495726,2.8940397350993377,0.00028901638311905684,0.8989071038251366,11.54320987654321,0.00283258205205303,0.00013368983957219252,0.002288329519450801,1.0,0.007462686567164179,0
0x386dd650d7e381be810c77478964ab28a1d44ed1deaeb76a5217a60df90ece26,1,0x31adfbf4f653bcdc3a12c889fa721ee76605ffa8,0x17107f40d70f4470d20cb3f138a052cae8ebd4be,2021-08-30 01:16:05.000000 UTC,3527496,72774022779,16927830,1650467,0.0,1337,2.0,78,2020-08-30T00:00:00,1442,1447,0.9965445749827229,261,998,1059,0.9423984891406988,126,1,0x386dd650d7e381be810c77478964ab28a1d44ed1deaeb76a5217a60df90ece26,8,8,185,348,365,2364914,186,365,2364840,78,28.0,9.0,4,5,-0.36768127091051434,-0.2815424906115187,-0.21178394726976213,-0.05353478524379799,-0.19053028702762018,-0.19030155325575368,0.053988269368440124,-0.7584400014356716,-0.1643406354039036,-0.12847561848878766,1.990458801183279,-0.21533409294444572,0.6772058526649312,0.6749617891505905,0.2304485526413853,0.9402728358968427,0.9401994016853669,2.175049545900626,1.1403218534411372,1.4307319584736766,0.8753948980081774,0.12090541545768763,2.549792746865976,0.9930546601374866,0.7126746952963587,2.0741004274493777,-0.0,-0.11687956935074925,0.005405405405405406,0.7131147540983607,4.158045977011494,0.0006097470733620447,0.3442622950819672,5.693548387096774,0.0004220156873125931,0.007554296506137866,0.0055286800276434,1.0,0.03065134099616858,0
0x47552db1b5d524cc6c746383e159e92c3d9c05b3ec646a12f00bbb47b1b4fbf6,2,0xb48275048fb56da1da442b0f7cb7819a78a6a331,0xd06527d5e56a3495252a528c4987003b712860ee,2021-08-12 08:49:33.000000 UTC,955959,46200000000,11695107,627583,0.0,480,,535,2020-08-12T00:00:00,19656,20029,0.9813770033451495,366,486,494,0.9838056680161943,118,156,0x47552db1b5d524cc6c746383e159e92c3d9c05b3ec646a12f00bbb47b1b4fbf6,25,18,79,3266,365,2366936,82,336,2176087,37,16.0,5.0,2,3,0.06907686183574466,0.043501534320168775,-0.02060813040509464,0.761373253959247,-0.4433921033325453,-0.45271807914957646,-0.03435617141628013,0.8006790430025171,0.0527055587841744,0.4973027475292466,0.23590843747916887,-0.02248154235349719,0.6772058526649312,0.6775644343410882,-0.48336346886089127,0.7010785229603943,0.700414942333355,0.41841237049800867,0.25820412878137394,-0.2647617859097196,-0.6207890251914279,-0.2770666110405988,-0.17657617269239145,-0.08080930526653408,0.020573976845094592,0.1328956254174256,-0.0,-0.47644889068710516,0.02531645569620253,1.0,6.132578077158604,0.0083044035392577,0.35014836795252224,6.024390243902439,0.0002233365562422108,0.05060728744939271,0.0012481901243197363,1.3888888888888888,0.04918032786885246,0
0x65c962be276ab87f6b87cb1d3a900d0d25093dadfa4cdef4767e03d57cc79449,1,0x9bf62c518ffe86bd43d57c7026aa1a4fbea83b15,0x797aab1ce7c01eb727ab980762ba88e7133d2157,2021-08-14 01:22:30.000000 UTC,1492539,47335172539,14759525,951899,0.0,1685,,487,2020-08-14T00:00:00,10497,10622,0.9882319713801544,365,1562,1820,0.8582417582417582,133,42,0x65c962be276ab87f6b87cb1d3a900d0d25093dadfa4cdef4767e03d57cc79449,20,12,127,1812,365,2365278,160,328,2119916,53,27.0,6.0,4,4,-0.36768127091051434,-0.11994846152639572,-0.1173894730617477,0.7536122250144562,0.0880128074957739,0.1631479621516784,0.13128965505507034,-0.3460278671004088,-0.0111315571534956,0.12183572791842605,1.0304218097225395,-0.11857736434089923,0.6772058526649312,0.6754303167714318,0.05199554726581616,0.6350938849089602,0.6290574917695925,1.1039293169965911,1.0668120430528236,0.15911165018612947,0.8753948980081774,-0.07808059779145561,0.3923112416658809,-0.03493665383223126,0.42588606759306386,0.7483747770864267,-0.0,0.029129910025040527,0.007874015748031496,0.9972677595628415,5.862030905077263,0.0044379542540224646,0.40425531914893614,11.375,0.0007368213000792012,0.01098901098901099,0.0018828845791752965,1.6666666666666667,0.03287671232876712,0
0xe23055a0f5bdc483210fff5eee17cf189ccb4b1afc93aacd37f594e70b03a76e,1,0x6aed19abab347eb07a2c8b264fc5c4c1b002210b,0x797aab1ce7c01eb727ab980762ba88e7133d2157,2021-08-06 02:01:47.000000 UTC,980926,48000000000,4444176,478462,0.0,3687,,785,2020-08-06T00:00:00,10702,10827,0.9884547889535421,365,3585,3758,0.9539648749334753,243,25,0xe23055a0f5bdc483210fff5eee17cf189ccb4b1afc93aacd37f594e70b03a76e,8,8,60,1825,365,2365680,218,365,2362205,27,11.0,7.0,4,5,-0.36768127091051434,-0.11629006550624661,-0.11528038671704546,0.7536122250144562,1.0871133043412105,1.0632598686688968,1.346025715844974,-0.5170280203613714,-0.1643406354039036,-0.12847561848878766,-0.07858643903383196,-0.11771818573991145,0.6772058526649312,0.6759477566164269,0.45008302079593193,0.9402728358968427,0.9368520003174811,-0.010035721063605308,-0.10934492316019416,0.5829850862819785,0.8753948980081774,0.12090541545768763,-0.15010591276044655,-0.008070783372334987,-0.9384629441882839,-0.15010264348091157,-0.0,0.8691039839053025,0.016666666666666666,0.9972677595628415,5.932602739726027,0.004523855921402759,0.6639344262295082,17.238532110091743,0.0015176491804694426,0.0021287919105907396,0.0007388935069733074,1.0,0.021917808219178082,0
0xe37a1f01d80b0ed4bd2799b68e3185f855a95a6f247754a21fa2989e5ad6442c,1,0xe7c176b1b200fd38f0f828d645bf8987b350ba54,0x1d0986fb43985c88ffa9ad959cc24e6a087c7e35,2021-08-02 04:46:08.000000 UTC,1009152,25000000000,6599038,492355,0.0,350,,887,2020-08-02T00:00:00,474,474,1.0,129,358,367,0.9754768392370572,60,1,0xe37a1f01d80b0ed4bd2799b68e3185f855a95a6f247754a21fa2989e5ad6442c,1,1,42,114,165,1060826,55,323,2093453,20,10.0,7.0,4,5,-0.36768127091051434,-0.2988172581603204,-0.22179439123754394,-1.0779906059561974,-0.5066075574087766,-0.5117037407221702,-0.674853367105502,-0.7584400014356716,-0.2537125977166416,-0.5665204747014116,-0.3765289536250959,-0.2307993077622257,-0.9956516002294129,-1.0036130680134345,-0.6686800513662899,0.5938534861268139,0.5954399272920355,-0.3099493851567351,-0.1828547335485078,0.5829850862819785,0.8753948980081774,0.12090541545768763,-0.12018042884811923,-0.9375074520204346,-0.6534523410351402,-0.12373684020837047,-0.0,-0.530992661718291,0.023809523809523808,0.7771084337349398,4.157894736842105,0.0004468212064738171,0.18518518518518517,6.672727272727273,0.00017100925074064202,0.0027247956403269754,0.002109704641350211,1.0,0.007751937984496124,0
