transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0xe3728935c1ba8b46d42dfc70eca39ea9de10792217b544fb0a123daaaf3b401f,12,0x5a6ef084208484588ec22ef3ee3157cc64095f68,0xeb06adabf594f521837d66e2c66f13a4a28b915f,2024-01-29 20:06:23.000000 UTC,1201969,17881543679,11602904,639083,0.0,322,2,6,86,88,0.9772727272727273,3,337,338,0.9970414201183432,29,30,0xe3728935c1ba8b46d42dfc70eca39ea9de10792217b544fb0a123daaaf3b401f,5,2,75,40,2,15981,35,476,3396544,14,21.0,6.0,1,6,0.12451520739054578,-0.49442020805584225,-0.44721547468584266,-0.5057849260680543,-0.33227258662787135,-0.320126669610952,-0.5521685932596943,0.38216198691682624,-0.30512434096063584,-0.34626152708433056,0.05731661410003629,-0.513088879126236,-0.5071222576525076,-0.5174792237420657,-0.4283235873199248,-0.026039781335591854,0.021906667598154933,1.136125871864071,0.607621636567213,0.7652550949865644,-0.7358236637186913,1.0933106863298154,0.3856998656250246,0.7973122983902564,0.5825599029023059,0.29977820825908497,-0.20913494,-0.31644583351438266,0.16,1.0,2.2,0.005381053685396071,0.06079664570230608,9.657142857142857,9.921847053402796e-05,0.014792899408284023,0.056818181818181816,2.5,0.6666666666666666,0
0x9d945000501ec6982c7ab85c872b71e96bd154ba1657a008a63959d7c8046b89,4,0xa077b54582e5d05de3873b080ca9ed4b59acf015,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-01-28 22:37:11.000000 UTC,327164,10268183576,13137020,187611,1e+17,645,2,40,1679498,18029762,0.09315142374036885,266,666,678,0.9823008849557522,282,16,0x9d945000501ec6982c7ab85c872b71e96bd154ba1657a008a63959d7c8046b89,13,10,17,1506914,265,1890180,192,2106,13615427,7,10.0,2.0,1,5,-0.40485230288697477,1.1031520576512477,1.3511495380358678,0.8995307057277584,-0.2604272632277824,-0.2542174406496983,0.6529120885701308,-0.389271977371093,-0.2918176287874405,-0.13509875974765687,-0.48891274359536185,1.6619826144606467,0.8958528922086714,0.9300797651998792,-0.014154534441896875,2.5010859886147063,2.465180127935222,-0.4510370950533326,-0.20280461403025615,-0.7903454259697305,-0.7358236637186913,0.6714107119369821,-0.3909944307475641,-0.529883863008352,0.8874656142433203,-0.4990970899676874,0.35543832,-0.2535353152916377,0.23529411764705882,1.0,11.964692079309104,0.8885381876127206,0.13383958234456572,3.53125,4.8915098372228916e-05,0.019174041297935103,7.210300391097786e-07,1.3,0.03759398496240601,0
0xe03217aa2218ee78f944db44b658cc54438c5d888a41cddbf94ad8012b1b03f3,6,0xadd90f648aeefb2b23896a6f3fece1cbdbca740e,0x1111111254eeb25477b68fb85ed929f73a960582,2024-01-28 20:37:11.000000 UTC,557762,10102113489,1614745,415796,0.0,2388,2,62,1950212,3474818,0.5612414808487811,448,2399,2415,0.9933747412008281,504,5,0xe03217aa2218ee78f944db44b658cc54438c5d888a41cddbf94ad8012b1b03f3,346,89,50,398511,450,3212701,296,1171,7858539,15,10.0,6.0,1,3,-0.2725104253175946,1.3606738440494806,-0.10062945983862417,1.8720304965522372,0.11801633997086212,0.08250117907294181,1.710334663140175,-0.9953986635973152,0.26207426542181694,1.950133567701996,-0.17812707456177326,0.062077268223216346,1.8827365527574094,1.9515439542291608,0.2601994878467331,1.051477034686161,1.088742833904853,1.3628634385665572,-0.20280461403025615,0.7652550949865644,-0.7358236637186913,-0.17238923684868462,-0.18625834515714543,-0.5588339690072371,-1.4025877162361131,-0.09532595925332185,-0.20913494,0.08594775982367023,0.12,0.9933481152993349,8.719503351224935,0.6070317134922567,0.4300341296928328,8.158783783783784,0.0003052729896392969,0.1432712215320911,9.957356039942236e-05,3.8876404494382024,0.19866071428571427,0
0xb1eae899154840b8438f2021162d033d4d915bc86863316f927d96832097c0a4,25,0x92673b98f4ba02d4ba492287ec149540f7569ac6,0xd0fcbaf80110fe2da822571081e0630c947cdb1a,2024-01-28 22:05:59.000000 UTC,1122838,11346395239,4768537,1118138,0.0,24,2,45,8,8,1.0,1,26,26,1.0,2,8,0xb1eae899154840b8438f2021162d033d4d915bc86863316f927d96832097c0a4,8,1,173,1,0,85,6,0,205,12,22.0,6.0,2,2,0.9847374115915167,-0.49449440702353165,-0.44722345426445387,-0.5164717369562353,-0.40018716285105566,-0.380608079716573,-0.6807740415182132,-0.8300913855356182,-0.3001343238956876,-0.3726568730014148,0.9802558736543298,-0.5131451730089693,-0.5177912701989804,-0.5297566807720936,-0.5048261512273312,-0.7640225215173967,-0.7901375588606209,0.6826507384590985,0.6812967502578919,0.7652550949865644,0.24177063236471288,-0.594289211241518,0.3154435269366777,-0.341925016855136,-0.7757712348347064,1.1474613558120372,-0.20913494,-0.3744871165805684,0.14450867052023122,1.0,8.0,0.09302325581395349,2.0,4.333333333333333,0.1262135922330097,0.3076923076923077,1.0,8.0,1.0,0
0x22e0ac37fad59a5e1bfa0cf534f70c43f5cd14bb61b405c12da46278522ecd63,25,0x92673b98f4ba02d4ba492287ec149540f7569ac6,0xd31711a0c16f123be96e9e40bf84764cc47ba1bd,2024-01-28 21:41:47.000000 UTC,1224250,11886981049,5560676,1219809,0.0,8,2,57,3,3,1.0,1,10,10,1.0,2,3,0x22e0ac37fad59a5e1bfa0cf534f70c43f5cd14bb61b405c12da46278522ecd63,3,1,213,1,0,30,4,0,84,12,42.0,6.0,2,3,0.9847374115915167,-0.4944991633676143,-0.44722395298811707,-0.5164717369562353,-0.40368116034163753,-0.3837096904912202,-0.6807740415182132,-1.1056035156384465,-0.30845101900393473,-0.3726568730014148,1.356965775513225,-0.5131451730089693,-0.5177912701989804,-0.5297991606498396,-0.5101021901174972,-0.7640225215173967,-0.7901664892328251,0.6826507384590985,2.1547990240714725,0.7652550949865644,0.24177063236471288,-0.17238923684868462,0.4054820177817654,-0.24768759707830904,-0.6183335278582067,1.327367198136731,-0.20913494,-0.3776034270807663,0.11737089201877934,1.0,3.0,0.0967741935483871,2.0,2.5,0.11764705882352941,0.3,1.0,3.0,1.0,0
0x6742253c25cc401f30ea10636a6cd2d80a4ac0c24b28f9a4acf97748f9346d06,25,0x92673b98f4ba02d4ba492287ec149540f7569ac6,0xd0fcbaf80110fe2da822571081e0630c947cdb1a,2024-01-28 21:59:47.000000 UTC,1185734,9261805911,25732976,944060,0.0,20,2,49,5,5,1.0,1,22,22,1.0,2,5,0x6742253c25cc401f30ea10636a6cd2d80a4ac0c24b28f9a4acf97748f9346d06,5,1,173,1,0,54,6,0,174,12,22.0,6.0,2,2,0.9847374115915167,-0.49449726082998124,-0.4472237534986518,-0.5164717369562353,-0.4010606622237011,-0.3813834824102348,-0.6807740415182132,-0.9953986635973152,-0.30512434096063584,-0.3726568730014148,0.9802558736543298,-0.5131451730089693,-0.5177912701989804,-0.5297806239759141,-0.5048261512273312,-0.7640225215173967,-0.7901449707741608,0.6826507384590985,0.6812967502578919,0.7652550949865644,0.24177063236471288,-0.594289211241518,0.3712856454255413,-0.7053202742427275,3.390913152891062,0.8394320335844792,-0.20913494,-0.37526619420561785,0.14450867052023122,1.0,5.0,0.09090909090909091,2.0,3.6666666666666665,0.12571428571428572,0.22727272727272727,1.0,5.0,1.0,0
0x4c3ce484931d9ae8145c374e28e3bf01c3552971e883fbb2d3e0c167dba95b1f,4,0x92989eb906d40c6385c9982b08c5953cbf763ab2,0x04c80bb477890f3021f03b068238836ee20aa0b8,2024-01-28 22:13:23.000000 UTC,577116,9844520064,9708371,316240,0.0,2923,2,42,87,103,0.8446601941747572,2,2920,3105,0.9404186795491143,659,44,0x4c3ce484931d9ae8145c374e28e3bf01c3552971e883fbb2d3e0c167dba95b1f,1,1,31,65,1,9459,632,2388,15080531,11,10.0,5.0,3,4,-0.40485230288697477,-0.49441925678702575,-0.44721397851485306,-0.5111283315121448,0.231789633257933,0.21625814372960367,2.4486251994390797,1.1535959512047453,-0.31177769704723357,-0.3726568730014148,-0.35706427794474854,-0.513052793303971,-0.512456763925744,-0.522516564881336,1.1465740213946145,2.9382942506551872,2.815477681966683,0.4559131717566123,-0.20280461403025615,0.3763549647474907,1.2193649284481172,0.2495107375441487,-0.16907492552420428,-0.6037388467795108,0.20602127608137055,-0.2714893297176354,-0.20913494,0.19014939217403726,0.12903225806451613,1.0,1.5846153846153845,0.00919661733615222,0.2758476349937212,4.912974683544304,0.00019362712137741559,0.00032206119162640903,0.009708737864077669,1.0,0.5,0
0x65f0ab303d3e79cb92b6262e65d1e8527811470e6556bc15d7a5e50a71f42676,3,0x1b9fcb24c533839dc847235bd8eb80e37ec42f85,0x7701aaa4dfdb9107815dd3e36e0bf134417c02b0,2024-01-29 09:25:11.000000 UTC,478284,15355312987,2000852,313203,0.0,2345,2,18,1442,1443,0.9993069993069993,26,2347,2348,0.9995741056218058,72,42,0x65f0ab303d3e79cb92b6262e65d1e8527811470e6556bc15d7a5e50a71f42676,1441,26,28,3,25,176019,6,71,503712,9,7.0,5.0,5,8,-0.47102324167166487,-0.49313028754062693,-0.44708032057311503,-0.38288660085397175,0.10666084812647118,0.06951318395410652,-0.34735250899612713,1.0433910991636142,2.0834304941279336,0.2872267749256906,-0.3853175205841657,-0.5131422861431881,-0.3844286133680699,-0.39387204783796426,-0.5048261512273312,-0.653945264053304,-0.669752063675488,0.0024380383516398357,-0.4238299551022932,0.3763549647474907,3.1745535206149254,1.9371106351154823,-0.25682276727076003,0.3569280748844488,-1.3258489106381368,-0.2768632715805077,-0.20913494,0.0775726753543884,0.10714285714285714,1.0,481.0,0.008192250880581751,1.0,391.3333333333333,0.004659399300792316,0.6137137989778535,0.9986139986139986,55.42307692307692,1.0,0
0x7ea19be4f03cb56ce26d45af31694a4e78b09902183f4146af7c46cba80e2b24,1,0x92673b98f4ba02d4ba492287ec149540f7569ac6,0x04c80bb477890f3021f03b068238836ee20aa0b8,2024-01-28 21:46:11.000000 UTC,46619,10971092893,12138734,46619,0.0,9,2,56,85,101,0.8415841584158416,2,11,11,1.0,2,42,0x7ea19be4f03cb56ce26d45af31694a4e78b09902183f4146af7c46cba80e2b24,1,1,1,64,1,9323,5,0,106,2,0.0,0.0,1,0,-0.603365119241045,-0.4944211593246588,-0.44721417800431834,-0.5111283315121448,-0.40346278549847614,-0.3835158398178048,-0.6807740415182132,1.0433910991636142,-0.31177769704723357,-0.3726568730014148,-0.63959670433892,-0.5130542367368617,-0.512456763925744,-0.5226216060335809,-0.5074641706724142,-0.7640225215173967,-0.7901612291651515,-1.5847249285657636,-0.9395557509370462,-1.568145686447878,-0.7358236637186913,-1.4380891600271848,-0.6400758847582841,-0.40734945839426917,0.6890561700084802,-0.7485810580711115,-0.20913494,-0.37740865767450393,1.0,1.0,1.578125,0.009116259116259117,2.0,2.2,0.102803738317757,0.09090909090909091,0.009900990099009901,1.0,0.5,0
0xe001a79a5e7eb1127cdee79c5b5d51600bd637bd2a3a71e85daea71d8b308434,4,0xe202c5d102b94656b86d2f0e6ad9b537591c4abc,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-01-28 19:41:47.000000 UTC,149386,12099615387,10982571,116691,0.0,310,2,73,1678631,18021087,0.09314815471452971,266,338,338,1.0,55,7,0xe001a79a5e7eb1127cdee79c5b5d51600bd637bd2a3a71e85daea71d8b308434,55,27,11,1506010,265,1889307,49,95,683323,6,6.0,2.0,1,4,-0.40485230288697477,1.1023273075873157,1.3502842524802132,0.8995307057277584,-0.33205421178470995,-0.320126669610952,-0.4283263097514909,-0.8851938115561839,-0.22195738987816477,0.3136221208427748,-0.5454192288741961,1.6606777511275461,0.8958528922086714,0.9294054936858371,-0.39139131508876307,-0.6167360502626247,-0.626808153907209,-0.6777746617558188,-0.4975050687929722,-0.7903454259697305,-0.7358236637186913,0.2495107375441487,-0.5488343592122232,-0.2106201953848134,0.45926865593447197,-0.6245893378817169,-0.20913494,-0.3187830663895311,0.36363636363636365,1.0,11.966113770824895,0.8884898597793478,0.5729166666666666,6.8979591836734695,0.0004946409024123256,0.16272189349112426,3.0519801607971814e-06,2.037037037037037,0.10150375939849623,0
