transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio
0x72c55fc1ca5f74f675dc092090bc3c5acc57eca71cfc15220e251ca16afaa09b,2,0x3aa27ab297a3a753f79c5497569ba2dacc2bc35a,0x00000000b2ff98680adaf8a3e382176bbfc34c8f,2021-08-30 05:19:59+00:00,1265683,78253252514,11387372,473888,0.0,2773,2.0,15,1842,1842,1.0,26,2775,2775,1.0,27,26,168054,1,0x72c55fc1ca5f74f675dc092090bc3c5acc57eca71cfc15220e251ca16afaa09b,1842,26,57,1,25,161963,10,22,7.0,11.0,2,3,0,-0.3534120923885966,-0.25974638098970354,-0.19118233690600114,-1.2938732102889887,0.7040619675709656,0.6329932272256114,-0.7326378166426037,-0.8674112124742147,12.976019158093052,1.0749223698179344,-0.08353665666875687,-0.22860769602529937,-1.3771725831860917,-1.3755031478651139,-0.7918042268018213,-0.8386647145047009,-0.857873814419563,-0.03728428109581727,-0.42199658524490163,1.790189544704034,-0.619525633403384,-0.263895102087254,0.1627943315065851,0.17628886665805563,0.21455028020432027,-0.14004509014427466,-0.0,0.6696808190602915,0.03508771929824561,1.0,1842.0,0.011372897680966141,1.0,277.5,0.01651245128083068,0.6637837837837838,1.0,70.84615384615384,1.0
0x0bec2cd94515aa5ea90e0268136ef5685cb1465278ac8c66e71b47ec5f0074f9,2,0xd6ee257dc510ff6682fa54689d87ace46c8c79cf,0x06091717521c2002f2859c75f53987eaf1e5aa2f,2021-08-24 01:48:43+00:00,252398,54709825242,14728551,113575,1.0012997e+17,1662,,201,78,78,1.0,50,1675,1760,0.9517045454545454,188,448,2896317,1,0x0bec2cd94515aa5ea90e0268136ef5685cb1465278ac8c66e71b47ec5f0074f9,1,1,9,65,98,627899,322,6,3.0,3.0,1,2,0,-0.3534120923885966,-0.29512506690019175,-0.2116016414540815,-1.1483088350220958,0.20550898016755034,0.1998524396202092,0.6114219882737499,-0.8674112124742147,-0.20979846265450156,-0.6067459183828391,-0.9915437943726365,-0.22371262006236345,-0.930110208488104,-0.9353990341419849,1.1484046727502664,0.1435199951023985,0.17242789553774782,-0.8751332944849697,-0.8738130576698497,-1.123056256278934,-1.3570561493597935,-0.4412439610168601,-1.090517127549742,-0.6375989734742304,0.6193499442229875,-0.985129648147782,-0.0,0.18157782753894802,0.2222222222222222,0.5050505050505051,1.2,0.00012422360248447205,0.41870824053452116,5.46583850931677,0.0005783204744782859,0.0005681818181818182,0.01282051282051282,1.0,0.02
0x71bc03e5eb40738d6f7aeb8f86ec3effdc65fb442f2f5a98e2f7040fbbee439f,2,0x66d9af69e6845e8666f355676a267a726c04ea4e,0x06091717521c2002f2859c75f53987eaf1e5aa2f,2021-08-29 14:59:46+00:00,252398,66000000000,11240239,113575,2.8612046e+19,269,,85,79,79,1.0,51,257,271,0.948339483394834,38,225,1455401,2,0x71bc03e5eb40738d6f7aeb8f86ec3effdc65fb442f2f5a98e2f7040fbbee439f,1,1,9,66,103,663791,89,6,3.0,3.0,1,2,0,-0.3534120923885966,-0.29510501095579805,-0.2115900658846098,-1.1422436527193087,-0.43717114359430675,-0.4355629620984545,-0.6408076436358964,-0.8264259916995873,-0.20979846265450156,-0.6067459183828391,-0.9915437943726365,-0.2236361345004426,-0.8994894978923513,-0.9014969170062612,-0.3005333836460042,-0.37550178272315404,-0.37171987126657,-0.8751332944849697,-0.8738130576698497,-1.123056256278934,-1.3570561493597935,-0.4412439610168601,-1.090517127549742,-0.2473016797818631,0.19672442024109812,-0.985129648147782,0.0,-0.4304180925233666,0.2222222222222222,0.49038461538461536,1.196969696969697,0.00011901318485308651,0.168141592920354,3.044943820224719,0.00017658351438296774,0.0036900369003690036,0.012658227848101266,1.0,0.0196078431372549
0x3f08c12e95ff3da38b1ac1a627d78283df47652486ee8fc6af49067b25fec1e1,1,0xe8812ec6038bf0966fd79b1bb68b14e57e46fafb,0x10fdbd1e48ee2fd9336a482d746138ae19e649db,2021-08-23 15:24:14+00:00,1063866,62700000000,8010400,519285,0.0,73,,218,538,543,0.990791896869245,186,80,81,0.9876543209876543,15,24,154412,1,0x3f08c12e95ff3da38b1ac1a627d78283df47652486ee8fc6af49067b25fec1e1,1,1,50,181,356,2306025,34,22,10.0,7.0,4,5,0,-0.6203396546156333,-0.2858993324790894,-0.2062190016497406,-0.32344404184303605,-0.5173928515674018,-0.516643503620648,-0.8328161871953755,-0.8674112124742147,-0.20979846265450156,-0.6067459183828391,-0.21595436425057266,-0.21484029487954212,0.6499184582527294,0.6496902398049508,-0.6425573883747375,-0.8433196183417014,-0.8630255816528678,-0.03728428109581727,-0.08313423092619053,0.33356664421254995,0.8555353985094353,0.09080261577195825,-0.08682898151232943,-0.3613814966839154,-0.19458587532654073,-0.033570153964660746,-0.0,-0.5165280712256018,0.02,0.5210084033613446,3.0,0.0002333017927811742,0.6,2.3823529411764706,0.0005180910933664911,0.012345679012345678,0.001841620626151013,1.0,0.005376344086021506
0x56bf56f47d07199e594102a0d29b27ca42936bb2a8db53e3ee8287d09a195a6a,1,0xa626bd40a8c88f59a4cf9b1821a7bd71fad96285,0x10fdbd1e48ee2fd9336a482d746138ae19e649db,2021-08-24 05:28:14+00:00,3316328,47000000000,22863745,1627918,0.0,5954,,194,543,548,0.9908759124087592,187,5605,6017,0.9315273392055842,419,439,2842958,2,0x56bf56f47d07199e594102a0d29b27ca42936bb2a8db53e3ee8287d09a195a6a,1,1,190,182,357,2309827,558,83,28.0,9.0,4,5,0,-0.6203396546156333,-0.28579905275712086,-0.2061611238023821,-0.31737885954024886,1.9867028351633884,2.016483309409566,2.5398556214146053,-0.8264259916995873,-0.20979846265450156,-0.6067459183828391,2.432399787385743,-0.21476380931762123,0.65604260037188,0.6532814537063779,2.6159985839499225,0.12257292783589638,0.15227739357308676,3.1570150824503265,1.950039894986076,1.061878094458292,0.8555353985094353,0.09080261577195825,2.6991951239357266,-0.9041248680058005,1.6049672361809093,2.5666375232301735,-0.0,2.067210626467487,0.005263157894736842,0.5223463687150838,3.010989010989011,0.00023508243903875095,0.9522727272727273,10.783154121863799,0.00197153740170013,0.00016619577862722287,0.0018248175182481751,1.0,0.0053475935828877
0x93978a3fd9dffceb1d9cd3f99298d80b529b7ca40ce69f9f0e1f1944eff25da3,1,0xde8589960da34eefb00ca879d8cc12b11f52cb12,0x10fdbd1e48ee2fd9336a482d746138ae19e649db,2021-08-25 07:49:37+00:00,1653596,62290543673,1110889,809579,0.0,5507,2.0,162,547,552,0.9909420289855072,188,5348,5607,0.9538077403245943,302,1279,7950195,3,0x93978a3fd9dffceb1d9cd3f99298d80b529b7ca40ce69f9f0e1f1944eff25da3,3,3,97,185,358,2316989,616,36,19.0,6.0,4,5,0,-0.6203396546156333,-0.2857188289795461,-0.20611482152449528,-0.3113136772374617,1.8702227281064085,1.8415200355985166,1.5631165085250813,-0.7854407709249599,-0.19547383731963186,-0.4722124553267772,0.6731359580844762,-0.2145343526318586,0.6621667424910305,0.660046386363406,2.9766784434820415,2.0776325393760944,2.080975255273827,0.6958336056196911,0.9334528320299428,-0.030589080910321028,0.8555353985094353,0.09080261577195825,0.6425959746937605,-0.3755362551122629,-1.0304943180328725,0.6472905884483806,-0.0,1.8708271546312667,0.010309278350515464,0.5236768802228412,2.983783783783784,0.00023608215831747223,0.2359375,9.102272727272727,0.0006726878180110277,0.0005350454788657035,0.005434782608695652,1.0,0.015957446808510637
0xdf0cea6ba865a349f90ec30f89a4df4194cefdeae757baf1cf045fb9454704cb,1,0xf662eba33a8630b51a3d955213dd7a58c2a687a9,0x11111112542d85b3ef69ae05771c2dccff4faa26,2021-08-27 03:43:12+00:00,884358,72307957609,5362857,636436,0.0,479,,131,559130,973733,0.5742128489021118,167,500,511,0.9784735812133072,121,245,1585394,1,0xdf0cea6ba865a349f90ec30f89a4df4194cefdeae757baf1cf045fb9454704cb,61,31,81,147052,166,1066258,58,26,10.0,7.0,1,2,0,-0.6203396546156333,10.917190758287038,11.059009452514838,-0.4386825055959929,-0.32703625637700684,-0.3331454359651575,0.05209275268744124,-0.8674112124742147,0.2199402973915893,1.4112560274580892,0.37046691218318295,11.018670670001098,-0.5136685443858688,-0.5213430281936207,-0.4933105499476539,-0.3289527443531493,-0.32262929232220844,0.17217797225147083,-0.08313423092619053,0.33356664421254995,-1.3570561493597935,-0.4412439610168601,-0.30885874943772373,-0.029237846733188112,-0.5153482519830965,0.2411978978532556,-0.0,-0.338157401056686,0.012345679012345678,1.0,6.621691646492398,0.5243847883112828,0.491869918699187,8.810344827586206,0.00031537881726635946,0.11937377690802348,6.264550960068109e-05,1.967741935483871,0.18562874251497005
0x3bcd61ba46f9fa4287952d3f9e97c9929b9a358e4473be13d0e8981a42aa5c79,5,0xf662eba33a8630b51a3d955213dd7a58c2a687a9,0x11111112542d85b3ef69ae05771c2dccff4faa26,2021-08-27 04:05:37+00:00,222517,124000000000,630522,167365,1.5e+17,480,,130,559180,973830,0.5742069971144861,167,501,512,0.978515625,121,245,1585503,2,0x3bcd61ba46f9fa4287952d3f9e97c9929b9a358e4473be13d0e8981a42aa5c79,62,31,19,147058,166,1066367,58,7,3.0,6.0,1,2,0,0.44737059429251363,10.918193555506724,11.060132282753592,-0.4386825055959929,-0.32658302638845826,-0.33271869627293543,0.05209275268744124,-0.8264259916995873,0.22710261005902413,1.4112560274580892,-0.8023756406843283,11.019129583372623,-0.5136685443858688,-0.5212400712458943,-0.4933105499476539,-0.3289527443531493,-0.32258812954340543,-0.8227677311481477,-0.8738130576698497,-0.030589080910321028,-1.3570561493597935,-0.4412439610168601,-1.1274763243285972,1.7577375263754194,-1.0886930557256616,-0.8589696195753779,-0.0,-0.3377180644306542,0.2631578947368421,1.0,6.622081083654068,0.5243780758612412,0.491869918699187,8.827586206896552,0.0003159878499202777,0.12109375,6.366614296129715e-05,2.0,0.18562874251497005
0x386dd650d7e381be810c77478964ab28a1d44ed1deaeb76a5217a60df90ece26,1,0x31adfbf4f653bcdc3a12c889fa721ee76605ffa8,0x17107f40d70f4470d20cb3f138a052cae8ebd4be,2021-08-30 01:16:05+00:00,3527496,72774022779,16927830,1650467,0.0,1337,2.0,78,1782,1793,0.9938650306748467,269,1279,1363,0.9383712399119589,153,432,2792386,1,0x386dd650d7e381be810c77478964ab28a1d44ed1deaeb76a5217a60df90ece26,8,8,185,388,373,2416279,224,78,28.0,9.0,4,5,0,-0.6203396546156333,-0.2609497376533256,-0.1917495398101145,0.1799660892883019,0.026029904702320864,0.030436781808047025,0.31923507416149915,-0.8674112124742147,-0.15966227398245764,-0.13587879768662248,2.337815710541589,-0.19900778356192125,0.7540288742782882,0.7538316647097227,0.5389800825063414,0.10628076440639472,0.13317937476919536,2.895187265766216,1.950039894986076,1.061878094458292,0.8555353985094353,0.09080261577195825,2.960384497296633,-0.013126140897423304,0.8858030137183095,2.619524351344677,-0.0,0.038793424078609015,0.005405405405405406,0.7192513368983957,4.621134020618556,0.000737497309914414,0.3533487297921478,6.084821428571429,0.0004580310680432189,0.00586940572267058,0.004461795872838818,1.0,0.02973977695167286
0xae207abe8988c94fd337b77b7b54f39390c61f64715268131a96e6e9961fb2d8,4,0x6510438a7e273e71300892c6faf946ab3b04cbcb,0x18c0ca3947e255881f94de50b3a906fc2759f7fe,2021-08-30 05:19:59+00:00,1099444,78915252517,877544,877544,0.0,1247,2.0,13,1792,1920,0.9333333333333333,22,1249,1249,1.0,25,25,161953,1,0xae207abe8988c94fd337b77b7b54f39390c61f64715268131a96e6e9961fb2d8,1154,22,86,2,21,133402,10,21,10.0,11.0,2,2,0,0.18044303206547688,-0.2607491782093886,-0.1902794424872085,-1.3181339395001377,0.012433005045864086,-0.018211543105269075,-0.7493342117347324,-0.8674112124742147,8.048348042897878,0.8058554437058107,0.4650509890273371,-0.2285312104633785,-1.4016691516626938,-1.402480701846876,-0.7918042268018213,-0.8409921664232012,-0.8601777971120123,-0.0896498444326393,-0.08313423092619053,1.790189544704034,-0.619525633403384,-0.4412439610168601,-0.04282328213820861,0.19917396942514592,-1.0587651702082381,0.8066969156825031,-0.0,-0.000746872264254101,0.046511627906976744,1.0,960.0,0.013432981267287841,0.9615384615384616,124.9,0.007712066389221631,0.9239391513210569,0.6010416666666667,52.45454545454545,1.0
